2 de Trèfle              2 de Pique               2 de Cœur                2 de Carreau             
3 de Trèfle              3 de Pique               3 de Cœur                3 de Carreau             
4 de Trèfle              4 de Pique               4 de Cœur                4 de Carreau             
5 de Trèfle              5 de Pique               5 de Cœur                5 de Carreau             
6 de Trèfle              6 de Pique               6 de Cœur                6 de Carreau             
7 de Trèfle              7 de Pique               7 de Cœur                7 de Carreau             
8 de Trèfle              8 de Pique               8 de Cœur                8 de Carreau             
9 de Trèfle              9 de Pique               9 de Cœur                9 de Carreau             
10 de Trèfle             10 de Pique              10 de Cœur               10 de Carreau            
Valet de Trèfle          Valet de Pique           Valet de Cœur            Valet de Carreau         
Reine de Trèfle          Reine de Pique           Reine de Cœur            Reine de Carreau         
Roi de Trèfle            Roi de Pique             Roi de Cœur              Roi de Carreau           
As de Trèfle             As de Pique              As de Cœur               As de Carreau            
